Site ,Section,Elev (m),Lon,Lat,Dec ,Inc ,a95,n,R,k
CB1860,9789,1876.783,-104.627842,38.846335,353.51,63.04,26.75,4,3.76,12.76
CB1863,9789,1902.295,-104.635214,38.850912,155.13,-54.87,21.47,4,3.84,19.29
CB1838,9789,1925.6,-104.636697,38.85554,325.79,-68.42,41.13,3,2.8,10.05
CB1843,9789,1951.802,-104.635728,38.858393,194.37,-64.23,31.06,3,2.88,16.82
CB1845,9789,1958.89,-104.635705,38.858551,165.49,-47.32,17.1,3,2.96,53.06
CB1846,9789,1962.612,-104.63584,38.858663,0.82,60.46,7.15,3,2.99,298.1
CB1847,9789,1965.806,-104.635853,38.858697,349.63,52.46,6.37,3,2.99,375.07
CB1848,9789,1971.236,-104.634897,38.858855,15.3,58.37,15.93,3,2.97,60.92
CB1850,Kunstle,2028.972,-104.596664,38.868465,332.59,57.47,23.6,3,2.93,28.34
CB1851,Kunstle,2036.045,-104.59621,38.869267,358.81,59.51,19.23,3,2.95,42.17
CB1868,Kunstle,2036.902,-104.596129,38.869649,340.66,55.06,33.18,3,2.87,14.86
CB1869,Kunstle,2040.598,-104.595875,38.869711,155.14,-37.04,27.32,3,2.91,21.42
CB1853,Kunstle,2042.362,-104.595928,38.869771,176.12,-31.4,28.53,4,3.74,11.34
CB1870,Kunstle,2043.408,-104.59591,38.869765,166.28,-48.68,23.82,4,3.81,15.84
CB1854,Kunstle,2043.746,-104.595909,38.869799,348.2,56.39,8.15,3,2.99,230
