Site,Lat,Long,N,Dg,Ig,Ds,Is,a95,k,Plat,Plong
GL25,63.2954,-51.1899,8,352.4,69.9,352.4,69.9,3.0,351.0,79.7,334.8
GL26,63.2692,-51.0515,5,156.0,-54.9,156.0,-54.9,3.4,518.8,58.5,348.3
GL27,63.2242,-51.1062,10,351.4,66.4,9.1,61.3,3.5,268.2,68.5,290.3
GL28,63.224,-51.0656,5,284.9,67.2,303.5,75.1,10.8,51.0,64.8,61.9
GL29,63.2266,-51.0525,4,342.4,62.4,332.8,62.6,6.1,229.1,65.3,0.8
GL42,61.2811,-48.5432,8,154.0,-60.5,162.9,-61.0,2.7,435.5,68.2,347.5
GL43,61.2789,-48.507,9,312.8,65.8,357.0,67.3,3.4,228.6,78.7,321.3
GL44,61.3025,-48.591,10,291.9,64.2,325.4,70.7,2.3,453.0,70.9,37.7
GL47,61.2867,-48.4358,8,326.9,63.3,349.7,56.0,5.2,113.2,64.4,331.0
GL49+GL46,61.3231,-48.4846,18,330.3,64.4,349.9,64.9,2.4,202.3,74.4,338.0
GL50+GL46,61.3265,-48.5154,16,345.2,77.9,356.1,77.2,2.2,274.6,85.4,110.9
GL51,61.3617,-48.5965,9,132.1,-64.6,144.8,-66.3,3.1,283.4,66.6,24.9
GL52,61.3623,-48.6054,6,158.7,-42.9,166.9,-45.2,6.2,129.0,54.3,331.7
GL53,61.4293,-48.6508,10,142.3,-61.3,151.6,-61.0,1.6,923.8,64.2,5.7
GL54,61.6191,-48.9444,9,295.2,67.4,295.2,67.4,1.7,888.9,53.7,53.3
GL56,61.5949,-49.0392,8,130.2,-64.5,130.2,-64.5,3.0,353.5,58.0,35.8
GL57,61.6005,-49.2072,9,298.1,76.2,282.9,73.3,2.5,427.1,54.0,72.2
GL58,61.7923,-49.3872,9,345.8,70.0,318.4,69.5,1.2,1778.0,66.6,38.3
GL59,61.7939,-49.3805,9,348.2,59.4,330.9,61.1,4.1,161.1,63.9,5.5
GL60,61.7905,-49.4057,12,354.8,66.3,343.4,67.5,2.6,282.4,75.4,356.8
GL61,61.7901,-49.4096,9,322.9,78.2,302.5,76.2,2.5,415.3,64.5,70.7
GL62,61.7843,-49.3867,8,318.9,59.5,352.2,57.5,3.3,285.5,65.9,325.7
GL63,61.8233,-49.2737,9,156.6,-65.0,147.1,-66.6,5.7,83.9,67.8,21.0
GL65,61.8341,-49.2625,8,325.9,53.6,339.6,54.0,4.7,139.9,59.8,345.5
GL66,61.9131,-49.3689,8,300.0,67.1,316.7,69.1,2.0,741.4,65.4,38.5
GL67,61.926,-49.3669,11,123.9,-55.9,138.6,-59.9,2.7,280.0,57.5,19.5
GL68,61.9356,-49.5565,8,317.8,60.2,309.4,59.2,8.9,39.4,52.7,28.4
GL69,61.9305,-49.5887,9,348.2,69.7,334.6,71.2,3.4,237.1,75.6,26.5
GL70,61.9284,-49.6056,8,309.5,67.2,326.4,68.0,4.3,164.4,68.9,25.0
GL71,61.9335,-49.628,9,290.7,78.2,9.1,78.2,1.2,1809.5,84.5,142.8
GL73,62.0167,-49.6874,6,312.9,67.4,324.9,68.8,4.4,229.0,68.9,28.7
GL74,62.0186,-49.6787,9,343.7,63.0,4.4,59.0,2.1,599.9,67.6,301.4
GL75,62.1105,-49.6055,10,323.6,45.9,333.6,44.4,5.4,81.4,49.9,348.7
GL76,62.1108,-49.6003,9,320.1,58.3,335.8,56.9,5.2,97.4,61.2,352.9
GL77,62.2709,-49.5817,9,138.4,-66.1,171.7,-64.7,2.2,536.2,73.6,331.0
GL79,62.2476,-49.7716,9,336.4,47.1,331.0,47.4,3.3,244.6,51.3,353.2
GL80,62.7038,-50.353,9,350.5,52.8,350.5,52.8,3.0,293.3,60.1,325.7
GL81,62.658,-50.2782,9,312.0,47.2,322.9,50.2,5.0,108.0,50.4,4.0
GL82,62.7087,-50.4042,7,139.9,-63.6,150.0,-64.5,1.9,979.4,66.5,9.6
GL84,62.8155,-50.3927,11,133.1,-42.6,153.1,-45.6,3.3,193.0,50.1,348.5
