Symbol,Formation name,location latitude,location longitude,age,age_uncertainty,age_lower,age_upper,pole latitude,pole longitude,pole_sigma,on Colorado Plateau,reference
NI,Niobrara,38.5,-102.4,87,uniform,85,89,66,192,5,n,"Shive and Frerichs, 1974"
AL,Alkalic Complex,34.5,-92.8,98,gaussian,93,103,65,187,9,n,"Scharon and Hsu, 1969"
IS,Isachsen diabase,78.8,-103.8,109,gaussian,104,114,68,183,11,n,"Larochelle and Blake, 1963; Larochelle et al., 1965"
MH,Monteregian,45.3,-72.8,126,gaussian,120,132,72,190,3,n,"Larochelle, 1968, 1969; Foster and Symons, 1979; Fairbairn et al., 1963"
CV,Canelo Hills,31.6,-110.6,151,gaussian,149,153,62,130,6,n,"Kluth et al., 1982"
MO2,Morrison 2,38.1,-108.2,150,uniform,147,152,69,159,3,y,"Seiner and heslsley, 1975; Imlay, 1980"
MO1,Morrison 1,38.1,-108.2,154,uniform,152,156,66,140,5,y,"Seiner and heslsley, 1975; Imlay, 1980"
S,Summerville,38.8,-111.1,164,uniform,163,166,67,110,3,y,"Steiner, 1978; Imlay, 1980"
TC,Twin Creek,43.4,-110.8,172,uniform,166,178,68,145,7,n,"McCabe et al., 1982; Imlay, 1980"
N2,Newark 2,41,-74,179,gaussian,176,182,65,103,2,n,"Smith and Noltimier, 1979; Sutter and Smith, 1979"
N1,Newark 1,41,-74,195,gaussian,190,200,63,83,3,n,"Smith and Noltimier, 1979; Sutter and Smith, 1979"
K,Kayenta,38.5,-109.6,197,uniform,194,200,62,70,4,y,"Steiner and helsley, 1974; Peterson and Pipiringos, 1979"
W,Wingate,38.4,-110.6,203,uniform,200,206,59,63,4,y,"Reeve, 1975; Peterson and Pipiringos, 1979"
